        Site Type       ,Used,Fixed,Prohibited,Available,Util% 
 CLB LUTs               ,  50,    0,         0,   341280, 0.01 
   LUT as Logic         ,  50,    0,         0,   341280, 0.01 
   LUT as Memory        ,   0,    0,         0,   184320, 0.00 
 CLB Registers          ,  40,    0,         0,   682560,<0.01 
   Register as Flip Flop,   0,    0,         0,   682560, 0.00 
   Register as Latch    ,  40,    0,         0,   682560,<0.01 
 CARRY8                 ,   0,    0,         0,    42660, 0.00 
 F7 Muxes               ,   0,    0,         0,   170640, 0.00 
 F8 Muxes               ,   0,    0,         0,    85320, 0.00 
 F9 Muxes               ,   0,    0,         0,    42660, 0.00 
 Total,Clock Enable,Synchronous,Asynchronous 
 0    ,           _,          -,           - 
 0    ,           _,          -,         Set 
 0    ,           _,          -,       Reset 
 0    ,           _,        Set,           - 
 0    ,           _,      Reset,           - 
 0    ,         Yes,          -,           - 
 0    ,         Yes,          -,         Set 
 40   ,         Yes,          -,       Reset 
 0    ,         Yes,        Set,           - 
 0    ,         Yes,      Reset,           - 
                  Site Type                ,Used,Fixed,Prohibited,Available,Util% 
 CLB                                       ,  14,    0,         0,    42660, 0.03 
   CLBL                                    ,   7,    0,          ,         ,      
   CLBM                                    ,   7,    0,          ,         ,      
 LUT as Logic                              ,  50,    0,         0,   341280, 0.01 
   using O5 output only                    ,   0,     ,          ,         ,      
   using O6 output only                    ,  50,     ,          ,         ,      
   using O5 and O6                         ,   0,     ,          ,         ,      
 LUT as Memory                             ,   0,    0,         0,   184320, 0.00 
   LUT as Distributed RAM                  ,   0,    0,          ,         ,      
   LUT as Shift Register                   ,   0,    0,          ,         ,      
 CLB Registers                             ,  40,    0,         0,   682560,<0.01 
   Register driven from within the CLB     ,   0,     ,          ,         ,      
   Register driven from outside the CLB    ,  40,     ,          ,         ,      
     LUT in front of the register is unused,  16,     ,          ,         ,      
     LUT in front of the register is used  ,  24,     ,          ,         ,      
 Unique Control Sets                       ,  10,     ,         0,    85320, 0.01 
    Site Type  ,Used,Fixed,Prohibited,Available,Util% 
 Block RAM Tile,   0,    0,         0,      744, 0.00 
   RAMB36/FIFO*,   0,    0,         0,      744, 0.00 
   RAMB18      ,   0,    0,         0,     1488, 0.00 
 URAM          ,   0,    0,         0,      112, 0.00 
 Site Type,Used,Fixed,Prohibited,Available,Util% 
 DSPs     ,   0,    0,         0,     3528, 0.00 
     Site Type   ,Used,Fixed,Prohibited,Available,Util% 
 Bonded IOB      ,  85,   85,         0,      204,41.67 
 HPIOB_M         ,  33,   33,         0,       72,45.83 
   INPUT         ,   8,     ,          ,         ,      
   OUTPUT        ,  25,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HPIOB_S         ,  32,   32,         0,       72,44.44 
   INPUT         ,   8,     ,          ,         ,      
   OUTPUT        ,  24,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HDIOB_M         ,  10,   10,         0,       24,41.67 
   INPUT         ,   4,     ,          ,         ,      
   OUTPUT        ,   6,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HDIOB_S         ,  10,   10,         0,       24,41.67 
   INPUT         ,   4,     ,          ,         ,      
   OUTPUT        ,   6,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HPIOB_SNGL      ,   0,    0,         0,       12, 0.00 
 HPIOBDIFFINBUF  ,   0,    0,         0,       96, 0.00 
 HPIOBDIFFOUTBUF ,   0,    0,         0,       96, 0.00 
 HDIOBDIFFINBUF  ,   0,    0,         0,       60, 0.00 
 BITSLICE_CONTROL,   0,    0,         0,       32, 0.00 
 BITSLICE_RX_TX  ,   0,    0,         0,     1248, 0.00 
 BITSLICE_TX     ,   0,    0,         0,       32, 0.00 
 RIU_OR          ,   0,    0,         0,       16, 0.00 
       Site Type     ,Used,Fixed,Prohibited,Available,Util% 
 GLOBAL CLOCK BUFFERs,   0,    0,         0,      404, 0.00 
   BUFGCE            ,   0,    0,         0,      116, 0.00 
   BUFGCE_DIV        ,   0,    0,         0,       16, 0.00 
   BUFG_GT           ,   0,    0,         0,      168, 0.00 
   BUFG_PS           ,   0,    0,         0,       72, 0.00 
   BUFGCTRL*         ,   0,    0,         0,       32, 0.00 
 PLL                 ,   0,    0,         0,        8, 0.00 
 MMCM                ,   0,    0,         0,        4, 0.00 
    Site Type   ,Used,Fixed,Prohibited,Available, Util% 
 GTHE4_CHANNEL  ,   0,    0,         0,       16,  0.00 
 GTHE4_COMMON   ,   0,    0,         0,        4,  0.00 
 OBUFDS_GTE4    ,   0,    0,         0,        8,  0.00 
 OBUFDS_GTE4_ADV,   0,    0,         0,        8,  0.00 
 PS8            ,   1,    0,         0,        1,100.00 
 SYSMONE4       ,   0,    0,         0,        1,  0.00 
  Site Type ,Used,Fixed,Prohibited,Available,Util% 
 BSCANE2    ,   0,    0,         0,        4, 0.00 
