        Site Type       ,Used,Fixed,Prohibited,Available,Util% 
 CLB LUTs               ,  50,    0,         0,    87840, 0.06 
   LUT as Logic         ,  50,    0,         0,    87840, 0.06 
   LUT as Memory        ,   0,    0,         0,    57600, 0.00 
 CLB Registers          ,  40,    0,         0,   175680, 0.02 
   Register as Flip Flop,   0,    0,         0,   175680, 0.00 
   Register as Latch    ,  40,    0,         0,   175680, 0.02 
 CARRY8                 ,   0,    0,         0,    14640, 0.00 
 F7 Muxes               ,   0,    0,         0,    58560, 0.00 
 F8 Muxes               ,   0,    0,         0,    29280, 0.00 
 F9 Muxes               ,   0,    0,         0,    14640, 0.00 
 Total,Clock Enable,Synchronous,Asynchronous 
 0    ,           _,          -,           - 
 0    ,           _,          -,         Set 
 0    ,           _,          -,       Reset 
 0    ,           _,        Set,           - 
 0    ,           _,      Reset,           - 
 0    ,         Yes,          -,           - 
 0    ,         Yes,          -,         Set 
 40   ,         Yes,          -,       Reset 
 0    ,         Yes,        Set,           - 
 0    ,         Yes,      Reset,           - 
                  Site Type                ,Used,Fixed,Prohibited,Available,Util% 
 CLB                                       ,  11,    0,         0,    14640, 0.08 
   CLBL                                    ,   5,    0,          ,         ,      
   CLBM                                    ,   6,    0,          ,         ,      
 LUT as Logic                              ,  50,    0,         0,    87840, 0.06 
   using O5 output only                    ,   0,     ,          ,         ,      
   using O6 output only                    ,  50,     ,          ,         ,      
   using O5 and O6                         ,   0,     ,          ,         ,      
 LUT as Memory                             ,   0,    0,         0,    57600, 0.00 
   LUT as Distributed RAM                  ,   0,    0,          ,         ,      
   LUT as Shift Register                   ,   0,    0,          ,         ,      
 CLB Registers                             ,  40,    0,         0,   175680, 0.02 
   Register driven from within the CLB     ,   0,     ,          ,         ,      
   Register driven from outside the CLB    ,  40,     ,          ,         ,      
     LUT in front of the register is unused,  20,     ,          ,         ,      
     LUT in front of the register is used  ,  20,     ,          ,         ,      
 Unique Control Sets                       ,  10,     ,         0,    29280, 0.03 
    Site Type  ,Used,Fixed,Prohibited,Available,Util% 
 Block RAM Tile,   0,    0,         0,      128, 0.00 
   RAMB36/FIFO*,   0,    0,         0,      128, 0.00 
   RAMB18      ,   0,    0,         0,      256, 0.00 
 URAM          ,   0,    0,         0,       48, 0.00 
 Site Type,Used,Fixed,Prohibited,Available,Util% 
 DSPs     ,   0,    0,         0,      728, 0.00 
     Site Type   ,Used,Fixed,Prohibited,Available,Util% 
 Bonded IOB      ,  85,   85,         0,      252,33.73 
