          Site Type        , Used,Fixed,Prohibited,Available,Util% 
 CLB LUTs                  ,23382,    0,         0,    87840,26.62 
   LUT as Logic            ,20648,    0,         0,    87840,23.51 
   LUT as Memory           , 2734,    0,         0,    57600, 4.75 
     LUT as Distributed RAM, 1228,    0,          ,         ,      
     LUT as Shift Register , 1506,    0,          ,         ,      
 CLB Registers             ,32419,    0,         0,   175680,18.45 
   Register as Flip Flop   ,32379,    0,         0,   175680,18.43 
   Register as Latch       ,   40,    0,         0,   175680, 0.02 
 CARRY8                    , 1198,    0,         0,    14640, 8.18 
 F7 Muxes                  ,  101,    0,         0,    58560, 0.17 
 F8 Muxes                  ,    2,    0,         0,    29280,<0.01 
 F9 Muxes                  ,    0,    0,         0,    14640, 0.00 
 Total,Clock Enable,Synchronous,Asynchronous 
 0    ,           _,          -,           - 
 0    ,           _,          -,         Set 
 0    ,           _,          -,       Reset 
 0    ,           _,        Set,           - 
 0    ,           _,      Reset,           - 
 0    ,         Yes,          -,           - 
 119  ,         Yes,          -,         Set 
 4324 ,         Yes,          -,       Reset 
 812  ,         Yes,        Set,           - 
 27164,         Yes,      Reset,           - 
                  Site Type                , Used,Fixed,Prohibited,Available,Util% 
 CLB                                       , 4583,    0,         0,    14640,31.30 
   CLBL                                    , 1961,    0,          ,         ,      
   CLBM                                    , 2622,    0,          ,         ,      
 LUT as Logic                              ,20648,    0,         0,    87840,23.51 
   using O5 output only                    ,  585,     ,          ,         ,      
   using O6 output only                    ,15177,     ,          ,         ,      
   using O5 and O6                         , 4886,     ,          ,         ,      
 LUT as Memory                             , 2734,    0,         0,    57600, 4.75 
   LUT as Distributed RAM                  , 1228,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  ,   12,     ,          ,         ,      
     using O5 and O6                       , 1216,     ,          ,         ,      
   LUT as Shift Register                   , 1506,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  , 1286,     ,          ,         ,      
     using O5 and O6                       ,  220,     ,          ,         ,      
 CLB Registers                             ,32419,    0,         0,   175680,18.45 
   Register driven from within the CLB     ,19614,     ,          ,         ,      
   Register driven from outside the CLB    ,12805,     ,          ,         ,      
     LUT in front of the register is unused, 9406,     ,          ,         ,      
     LUT in front of the register is used  , 3399,     ,          ,         ,      
 Unique Control Sets                       , 1379,     ,         0,    29280, 4.71 
     Site Type    ,Used,Fixed,Prohibited,Available,Util% 
 Block RAM Tile   ,   7,    0,         0,      128, 5.47 
   RAMB36/FIFO*   ,   7,    0,         0,      128, 5.47 
     RAMB36E2 only,   7,     ,          ,         ,      
   RAMB18         ,   0,    0,         0,      256, 0.00 
 URAM             ,   0,    0,         0,       48, 0.00 
    Site Type  ,Used,Fixed,Prohibited,Available,Util% 
 DSPs          ,  32,    0,         0,      728, 4.40 
   DSP48E2 only,  32,     ,          ,         ,      
     Site Type   ,Used,Fixed,Prohibited,Available,Util% 
 Bonded IOB      , 101,  101,         0,      252,40.08 
 HPIOB_M         ,  41,   41,         0,       72,56.94 
   INPUT         ,  16,     ,          ,         ,      
   OUTPUT        ,  25,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HPIOB_S         ,  40,   40,         0,       72,55.56 
   INPUT         ,  16,     ,          ,         ,      
   OUTPUT        ,  24,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HDIOB_M         ,  10,   10,         0,       48,20.83 
   INPUT         ,   4,     ,          ,         ,      
