          Site Type        , Used,Fixed,Prohibited,Available,Util% 
 CLB LUTs                  ,16624,    0,         0,   274080, 6.07 
   LUT as Logic            ,14794,    0,         0,   274080, 5.40 
   LUT as Memory           , 1830,    0,         0,   144000, 1.27 
     LUT as Distributed RAM,  852,    0,          ,         ,      
     LUT as Shift Register ,  978,    0,          ,         ,      
 CLB Registers             ,24377,    0,         0,   548160, 4.45 
   Register as Flip Flop   ,24337,    0,         0,   548160, 4.44 
   Register as Latch       ,   40,    0,         0,   548160,<0.01 
 CARRY8                    ,  686,    0,         0,    34260, 2.00 
 F7 Muxes                  ,   63,    0,         0,   137040, 0.05 
 F8 Muxes                  ,    0,    0,         0,    68520, 0.00 
 F9 Muxes                  ,    0,    0,         0,    34260, 0.00 
 Total,Clock Enable,Synchronous,Asynchronous 
 0    ,           _,          -,           - 
 0    ,           _,          -,         Set 
 0    ,           _,          -,       Reset 
 0    ,           _,        Set,           - 
 0    ,           _,      Reset,           - 
 0    ,         Yes,          -,           - 
 38   ,         Yes,          -,         Set 
 4053 ,         Yes,          -,       Reset 
 628  ,         Yes,        Set,           - 
 19658,         Yes,      Reset,           - 
                  Site Type                , Used,Fixed,Prohibited,Available,Util% 
 CLB                                       , 3695,    0,         0,    34260,10.79 
   CLBL                                    , 1636,    0,          ,         ,      
   CLBM                                    , 2059,    0,          ,         ,      
 LUT as Logic                              ,14794,    0,         0,   274080, 5.40 
   using O5 output only                    ,  527,     ,          ,         ,      
   using O6 output only                    ,11228,     ,          ,         ,      
   using O5 and O6                         , 3039,     ,          ,         ,      
 LUT as Memory                             , 1830,    0,         0,   144000, 1.27 
   LUT as Distributed RAM                  ,  852,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  ,   12,     ,          ,         ,      
     using O5 and O6                       ,  840,     ,          ,         ,      
   LUT as Shift Register                   ,  978,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  ,  758,     ,          ,         ,      
     using O5 and O6                       ,  220,     ,          ,         ,      
 CLB Registers                             ,24377,    0,         0,   548160, 4.45 
   Register driven from within the CLB     ,13559,     ,          ,         ,      
   Register driven from outside the CLB    ,10818,     ,          ,         ,      
     LUT in front of the register is unused, 8393,     ,          ,         ,      
     LUT in front of the register is used  , 2425,     ,          ,         ,      
