          Site Type        , Used,Fixed,Prohibited,Available,Util% 
 CLB LUTs                  ,24723,    0,         0,    70560,35.04 
   LUT as Logic            ,21671,    0,         0,    70560,30.71 
   LUT as Memory           , 3052,    0,         0,    28800,10.60 
     LUT as Distributed RAM, 1526,    0,          ,         ,      
     LUT as Shift Register , 1526,    0,          ,         ,      
 CLB Registers             ,35367,    0,         0,   141120,25.06 
   Register as Flip Flop   ,35367,    0,         0,   141120,25.06 
   Register as Latch       ,    0,    0,         0,   141120, 0.00 
 CARRY8                    , 1198,    0,         0,     8820,13.58 
 F7 Muxes                  ,   95,    0,         0,    35280, 0.27 
 F8 Muxes                  ,    2,    0,         0,    17640, 0.01 
 F9 Muxes                  ,    0,    0,         0,     8820, 0.00 
 Total,Clock Enable,Synchronous,Asynchronous 
 0    ,           _,          -,           - 
 0    ,           _,          -,         Set 
 0    ,           _,          -,       Reset 
 0    ,           _,        Set,           - 
 0    ,           _,      Reset,           - 
 0    ,         Yes,          -,           - 
 119  ,         Yes,          -,         Set 
 4619 ,         Yes,          -,       Reset 
 867  ,         Yes,        Set,           - 
 29762,         Yes,      Reset,           - 
                  Site Type                , Used,Fixed,Prohibited,Available,Util% 
 CLB                                       , 4841,    0,         0,     8820,54.89 
   CLBL                                    , 3113,    0,          ,         ,      
   CLBM                                    , 1728,    0,          ,         ,      
 LUT as Logic                              ,21671,    0,         0,    70560,30.71 
   using O5 output only                    ,  690,     ,          ,         ,      
   using O6 output only                    ,15736,     ,          ,         ,      
   using O5 and O6                         , 5245,     ,          ,         ,      
 LUT as Memory                             , 3052,    0,         0,    28800,10.60 
   LUT as Distributed RAM                  , 1526,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  ,   14,     ,          ,         ,      
     using O5 and O6                       , 1512,     ,          ,         ,      
   LUT as Shift Register                   , 1526,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  , 1306,     ,          ,         ,      
     using O5 and O6                       ,  220,     ,          ,         ,      
 CLB Registers                             ,35367,    0,         0,   141120,25.06 
   Register driven from within the CLB     ,21015,     ,          ,         ,      
   Register driven from outside the CLB    ,14352,     ,          ,         ,      
     LUT in front of the register is unused,10397,     ,          ,         ,      
     LUT in front of the register is used  , 3955,     ,          ,         ,      
 Unique Control Sets                       , 1410,     ,         0,    17640, 7.99 
     Site Type    ,Used,Fixed,Prohibited,Available,Util% 
 Block RAM Tile   ,   7,    0,         0,      216, 3.24 
   RAMB36/FIFO*   ,   7,    0,         0,      216, 3.24 
     RAMB36E2 only,   7,     ,          ,         ,      
   RAMB18         ,   0,    0,         0,      432, 0.00 
    Site Type  ,Used,Fixed,Prohibited,Available,Util% 
 DSPs          ,  32,    0,         0,      360, 8.89 
   DSP48E2 only,  32,     ,          ,         ,      
     Site Type   ,Used,Fixed,Prohibited,Available,Util% 
 Bonded IOB      , 101,  101,         0,      252,40.08 
 HPIOB_M         ,  41,   41,         0,       72,56.94 
   INPUT         ,  16,     ,          ,         ,      
   OUTPUT        ,  25,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HPIOB_S         ,  40,   40,         0,       72,55.56 
   INPUT         ,  16,     ,          ,         ,      
   OUTPUT        ,  24,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HDIOB_M         ,  10,   10,         0,       48,20.83 
   INPUT         ,   5,     ,          ,         ,      
   OUTPUT        ,   5,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HDIOB_S         ,  10,   10,         0,       48,20.83 
   INPUT         ,   4,     ,          ,         ,      
   OUTPUT        ,   6,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HPIOB_SNGL      ,   0,    0,         0,       12, 0.00 
 HPIOBDIFFINBUF  ,   8,    8,         0,       72,11.11 
   DIFFINBUF     ,   8,    8,          ,         ,      
 HPIOBDIFFOUTBUF ,   8,    8,         0,       72,11.11 
   OBUFDS        ,   8,    8,          ,         ,      
 HDIOBDIFFINBUF  ,   0,    0,         0,       48, 0.00 
 BITSLICE_CONTROL,   1,    0,         0,       24, 4.17 
 BITSLICE_RX_TX  ,  24,   24,         0,      936, 2.56 
   IDELAY        ,   7,    7,          ,         ,      
   OSERDES       ,  10,   10,          ,         ,      
   IDDR          ,   7,    7,          ,         ,      
 BITSLICE_TX     ,   0,    0,         0,       24, 0.00 
 RIU_OR          ,   0,    0,         0,       12, 0.00 
       Site Type     ,Used,Fixed,Prohibited,Available,Util% 
 GLOBAL CLOCK BUFFERs,   5,    0,         0,      196, 2.55 
   BUFGCE            ,   1,    0,         0,       88, 1.14 
   BUFGCE_DIV        ,   0,    0,         0,       12, 0.00 
   BUFG_PS           ,   4,    0,         0,       72, 5.56 
   BUFGCTRL*         ,   0,    0,         0,       24, 0.00 
 PLL                 ,   0,    0,         0,        6, 0.00 
 MMCM                ,   0,    0,         0,        3, 0.00 
