        Site Type       ,Used,Fixed,Prohibited,Available,Util% 
 CLB LUTs               ,   9,    0,         0,    87840, 0.01 
   LUT as Logic         ,   9,    0,         0,    87840, 0.01 
   LUT as Memory        ,   0,    0,         0,    57600, 0.00 
 CLB Registers          ,   0,    0,         0,   175680, 0.00 
   Register as Flip Flop,   0,    0,         0,   175680, 0.00 
   Register as Latch    ,   0,    0,         0,   175680, 0.00 
 CARRY8                 ,   0,    0,         0,    14640, 0.00 
 F7 Muxes               ,   0,    0,         0,    58560, 0.00 
 F8 Muxes               ,   0,    0,         0,    29280, 0.00 
 F9 Muxes               ,   0,    0,         0,    14640, 0.00 
 Total,Clock Enable,Synchronous,Asynchronous 
 0    ,           _,          -,           - 
 0    ,           _,          -,         Set 
 0    ,           _,          -,       Reset 
 0    ,           _,        Set,           - 
 0    ,           _,      Reset,           - 
 0    ,         Yes,          -,           - 
 0    ,         Yes,          -,         Set 
 0    ,         Yes,          -,       Reset 
 0    ,         Yes,        Set,           - 
 0    ,         Yes,      Reset,           - 
                Site Type              ,Used,Fixed,Prohibited,Available,Util% 
 CLB                                   ,   3,    0,         0,    14640, 0.02 
   CLBL                                ,   0,    0,          ,         ,      
   CLBM                                ,   3,    0,          ,         ,      
 LUT as Logic                          ,   9,    0,         0,    87840, 0.01 
   using O5 output only                ,   0,     ,          ,         ,      
   using O6 output only                ,   9,     ,          ,         ,      
   using O5 and O6                     ,   0,     ,          ,         ,      
 LUT as Memory                         ,   0,    0,         0,    57600, 0.00 
   LUT as Distributed RAM              ,   0,    0,          ,         ,      
   LUT as Shift Register               ,   0,    0,          ,         ,      
 CLB Registers                         ,   0,    0,         0,   175680, 0.00 
   Register driven from within the CLB ,   0,     ,          ,         ,      
   Register driven from outside the CLB,   0,     ,          ,         ,      
 Unique Control Sets                   ,   0,     ,         0,    29280, 0.00 
    Site Type  ,Used,Fixed,Prohibited,Available,Util% 
 Block RAM Tile,   0,    0,         0,      128, 0.00 
   RAMB36/FIFO*,   0,    0,         0,      128, 0.00 
   RAMB18      ,   0,    0,         0,      256, 0.00 
 URAM          ,   0,    0,         0,       48, 0.00 
 Site Type,Used,Fixed,Prohibited,Available,Util% 
 DSPs     ,   0,    0,         0,      728, 0.00 
     Site Type   ,Used,Fixed,Prohibited,Available,Util% 
 Bonded IOB      ,  76,   76,         0,      252,30.16 
 HPIOB_M         ,  33,   33,         0,       72,45.83 
   INPUT         ,   8,     ,          ,         ,      
   OUTPUT        ,  25,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HPIOB_S         ,  32,   32,         0,       72,44.44 
   INPUT         ,   8,     ,          ,         ,      
   OUTPUT        ,  24,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HDIOB_M         ,   5,    5,         0,       48,10.42 
   INPUT         ,   0,     ,          ,         ,      
   OUTPUT        ,   1,     ,          ,         ,      
   BIDIR         ,   4,     ,          ,         ,      
 HDIOB_S         ,   6,    6,         0,       48,12.50 
   INPUT         ,   0,     ,          ,         ,      
   OUTPUT        ,   1,     ,          ,         ,      
   BIDIR         ,   5,     ,          ,         ,      
 HPIOB_SNGL      ,   0,    0,         0,       12, 0.00 
 HPIOBDIFFINBUF  ,   0,    0,         0,       96, 0.00 
 HPIOBDIFFOUTBUF ,   0,    0,         0,       96, 0.00 
 HDIOBDIFFINBUF  ,   0,    0,         0,       48, 0.00 
 BITSLICE_CONTROL,   0,    0,         0,       32, 0.00 
 BITSLICE_RX_TX  ,   0,    0,         0,     1248, 0.00 
 BITSLICE_TX     ,   0,    0,         0,       32, 0.00 
 RIU_OR          ,   0,    0,         0,       16, 0.00 
       Site Type     ,Used,Fixed,Prohibited,Available,Util% 
 GLOBAL CLOCK BUFFERs,   0,    0,         0,      352, 0.00 
   BUFGCE            ,   0,    0,         0,      112, 0.00 
   BUFGCE_DIV        ,   0,    0,         0,       16, 0.00 
   BUFG_GT           ,   0,    0,         0,       96, 0.00 
   BUFG_PS           ,   0,    0,         0,       96, 0.00 
   BUFGCTRL*         ,   0,    0,         0,       32, 0.00 
 PLL                 ,   0,    0,         0,        8, 0.00 
 MMCM                ,   0,    0,         0,        4, 0.00 
    Site Type   ,Used,Fixed,Prohibited,Available, Util% 
 GTHE4_CHANNEL  ,   0,    0,         0,        4,  0.00 
 GTHE4_COMMON   ,   0,    0,         0,        1,  0.00 
 OBUFDS_GTE4    ,   0,    0,         0,        2,  0.00 
 OBUFDS_GTE4_ADV,   0,    0,         0,        2,  0.00 
 PCIE40E4       ,   0,    0,         0,        2,  0.00 
 PS8            ,   1,    0,         0,        1,100.00 
 SYSMONE4       ,   0,    0,         0,        1,  0.00 
 VCU            ,   0,    0,         0,        1,  0.00 
  Site Type ,Used,Fixed,Prohibited,Available,Util% 
 BSCANE2    ,   0,    0,         0,        4, 0.00 
 DNA_PORTE2 ,   0,    0,         0,        1, 0.00 
 EFUSE_USR  ,   0,    0,         0,        1, 0.00 
 FRAME_ECCE4,   0,    0,         0,        1, 0.00 
 ICAPE3     ,   0,    0,         0,        2, 0.00 
 MASTER_JTAG,   0,    0,         0,        1, 0.00 
 STARTUPE3  ,   0,    0,         0,        1, 0.00 
 Ref Name,Used,Functional Category 
 OBUF    ,  51,                I/O 
 INBUF   ,  25,                I/O 
 IBUFCTRL,  25,             Others 
 OBUFT   ,   9,                I/O 
 LUT1    ,   9,                CLB 
 PS8     ,   1,           Advanced 
 Ref Name,Used 
     Ref Name    ,Used 
 system_sys_ps8_0,   1 
