          Site Type        , Used,Fixed,Prohibited,Available,Util% 
 CLB LUTs                  ,23328,    0,         0,   341280, 6.84 
   LUT as Logic            ,20594,    0,         0,   341280, 6.03 
   LUT as Memory           , 2734,    0,         0,   184320, 1.48 
     LUT as Distributed RAM, 1228,    0,          ,         ,      
     LUT as Shift Register , 1506,    0,          ,         ,      
 CLB Registers             ,32387,    0,         0,   682560, 4.74 
   Register as Flip Flop   ,32387,    0,         0,   682560, 4.74 
   Register as Latch       ,    0,    0,         0,   682560, 0.00 
 CARRY8                    , 1198,    0,         0,    42660, 2.81 
 F7 Muxes                  ,  100,    0,         0,   170640, 0.06 
 F8 Muxes                  ,    2,    0,         0,    85320,<0.01 
 F9 Muxes                  ,    0,    0,         0,    42660, 0.00 
 Total,Clock Enable,Synchronous,Asynchronous 
 0    ,           _,          -,           - 
 0    ,           _,          -,         Set 
 0    ,           _,          -,       Reset 
 0    ,           _,        Set,           - 
 0    ,           _,      Reset,           - 
 0    ,         Yes,          -,           - 
 119  ,         Yes,          -,         Set 
 4283 ,         Yes,          -,       Reset 
 812  ,         Yes,        Set,           - 
 27173,         Yes,      Reset,           - 
                  Site Type                , Used,Fixed,Prohibited,Available,Util% 
 CLB                                       , 4583,    0,         0,    42660,10.74 
   CLBL                                    , 1981,    0,          ,         ,      
   CLBM                                    , 2602,    0,          ,         ,      
 LUT as Logic                              ,20594,    0,         0,   341280, 6.03 
   using O5 output only                    ,  589,     ,          ,         ,      
   using O6 output only                    ,15124,     ,          ,         ,      
   using O5 and O6                         , 4881,     ,          ,         ,      
 LUT as Memory                             , 2734,    0,         0,   184320, 1.48 
   LUT as Distributed RAM                  , 1228,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  ,   12,     ,          ,         ,      
     using O5 and O6                       , 1216,     ,          ,         ,      
   LUT as Shift Register                   , 1506,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  , 1286,     ,          ,         ,      
     using O5 and O6                       ,  220,     ,          ,         ,      
 CLB Registers                             ,32387,    0,         0,   682560, 4.74 
   Register driven from within the CLB     ,19578,     ,          ,         ,      
   Register driven from outside the CLB    ,12809,     ,          ,         ,      
     LUT in front of the register is unused, 9245,     ,          ,         ,      
     LUT in front of the register is used  , 3564,     ,          ,         ,      
 Unique Control Sets                       , 1419,     ,         0,    85320, 1.66 
     Site Type    ,Used,Fixed,Prohibited,Available,Util% 
 Block RAM Tile   ,   7,    0,         0,      744, 0.94 
   RAMB36/FIFO*   ,   7,    0,         0,      744, 0.94 
     RAMB36E2 only,   7,     ,          ,         ,      
   RAMB18         ,   0,    0,         0,     1488, 0.00 
 URAM             ,   0,    0,         0,      112, 0.00 
    Site Type  ,Used,Fixed,Prohibited,Available,Util% 
 DSPs          ,  32,    0,         0,     3528, 0.91 
   DSP48E2 only,  32,     ,          ,         ,      
     Site Type   ,Used,Fixed,Prohibited,Available,Util% 
 Bonded IOB      ,  92,   92,         0,      204,45.10 
 HPIOB_M         ,  41,   41,         0,       72,56.94 
   INPUT         ,  16,     ,          ,         ,      
   OUTPUT        ,  25,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HPIOB_S         ,  40,   40,         0,       72,55.56 
   INPUT         ,  16,     ,          ,         ,      
   OUTPUT        ,  24,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HDIOB_M         ,   5,    5,         0,       24,20.83 
   INPUT         ,   0,     ,          ,         ,      
   OUTPUT        ,   1,     ,          ,         ,      
   BIDIR         ,   4,     ,          ,         ,      
 HDIOB_S         ,   6,    6,         0,       24,25.00 
   INPUT         ,   0,     ,          ,         ,      
   OUTPUT        ,   1,     ,          ,         ,      
   BIDIR         ,   5,     ,          ,         ,      
 HPIOB_SNGL      ,   0,    0,         0,       12, 0.00 
 HPIOBDIFFINBUF  ,   8,    8,         0,       96, 8.33 
   DIFFINBUF     ,   8,    8,          ,         ,      
 HPIOBDIFFOUTBUF ,   8,    8,         0,       96, 8.33 
   OBUFDS        ,   8,    8,          ,         ,      
 HDIOBDIFFINBUF  ,   0,    0,         0,       60, 0.00 
 BITSLICE_CONTROL,   1,    0,         0,       32, 3.13 
 BITSLICE_RX_TX  ,  24,   24,         0,     1248, 1.92 
   IDELAY        ,   7,    7,          ,         ,      
   OSERDES       ,  10,   10,          ,         ,      
   IDDR          ,   7,    7,          ,         ,      
 BITSLICE_TX     ,   0,    0,         0,       32, 0.00 
 RIU_OR          ,   0,    0,         0,       16, 0.00 
       Site Type     ,Used,Fixed,Prohibited,Available,Util% 
